brand,channel,month,month_idx,roas_sudden_z,roas_gradual_z,roas_alert_score,flagged,iroas_z,rroi_z,spend_z,ctr_z,cpc_z,picr_z,impr_share_z,roas_iroas_divergence,roas_rroi_divergence,cpc_z_signed_good,shape_sudden,mix_share_z,brand_spend_z,spend_vs_brand,brand_coincidence,market_coincidence
Aster Wellness,audio,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Ridgeway Grocery,retail_media,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Crestline Beverages,audio,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Ridgeway Grocery,tv,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Solstice Foods,affiliate,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Crestline Beverages,affiliate,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Solstice Foods,digital_video,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Solstice Foods,display,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Aster Wellness,social,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Solstice Foods,paid_search,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Solstice Foods,retail_media,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Aster Wellness,retail_media,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Solstice Foods,social,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Solstice Foods,tv,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Aster Wellness,paid_search,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Verdant Snacks,affiliate,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Verdant Snacks,digital_video,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Aster Wellness,display,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Crestline Beverages,digital_video,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Verdant Snacks,display,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Ridgeway Grocery,paid_search,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Crestline Beverages,ooh,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Halcyon Personal Care,display,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Halcyon Personal Care,affiliate,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Halcyon Personal Care,paid_search,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Halcyon Personal Care,retail_media,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Crestline Beverages,tv,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Halcyon Personal Care,social,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Nimbus Home,audio,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Crestline Beverages,social,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Nimbus Home,digital_video,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Nimbus Home,display,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Crestline Beverages,retail_media,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Nimbus Home,paid_search,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Nimbus Home,retail_media,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Nimbus Home,social,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Crestline Beverages,paid_search,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Ridgeway Grocery,affiliate,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Ridgeway Grocery,audio,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Ridgeway Grocery,display,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Verdant Snacks,paid_search,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Ridgeway Grocery,social,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Halcyon Personal Care,digital_video,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Verdant Snacks,retail_media,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Verdant Snacks,social,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Aster Wellness,digital_video,2023-01,0,,,,False,,,,,,,,,,,0,,,,0.0,0.0
Aster Wellness,paid_search,2023-02,1,-0.6123088710986406,,-0.6123088710986406,False,-0.8295870178517925,-0.9115143727424584,-1.3521369615448484,0.2682654600347778,1.2311646743797537,-0.14031903117475153,0.6601637486422456,0.21727814675315182,0.29920550164381776,-1.2311646743797537,0,0.7126762840476161,-0.10335783615270581,-1.2487791253921425,0.0,0.325
Halcyon Personal Care,digital_video,2023-02,1,0.6244717269186066,,0.6244717269186066,True,0.7672837440177172,0.11770433402755151,-3.1740340783068652,0.9244169139336064,-0.23074799885979372,0.10217696835137662,-0.12266249459322791,-0.1428120170991105,0.5067673928910551,0.23074799885979372,0,0.34387675670894513,0.1827018213888465,-3.3567358996957117,0.4,0.275
Ridgeway Grocery,social,2023-02,1,2.0257631417510944,,2.0257631417510944,True,1.0923585075469333,2.0903269264818958,0.24261989186636396,0.19233212556172793,-0.2548374204295832,0.6391162200733014,-0.47646583603393616,0.9334046342041611,-0.06456378473080138,0.2548374204295832,0,-1.5174538212931903,-0.1715293665933378,0.41414925845970174,0.6666666666666666,0.20512820512820512
Crestline Beverages,audio,2023-02,1,1.2428097248082568,,1.2428097248082568,True,-0.5209419004066611,0.397361150104942,2.75300402674695,-0.5573086355815053,1.4589935207687932,-0.5947530454705005,0.696441148665367,1.763751625214918,0.8454485747033148,-1.4589935207687932,0,-1.531461232374857,0.9356286811039283,1.817375345643022,0.14285714285714285,0.2894736842105263
Ridgeway Grocery,tv,2023-02,1,2.2292817639791727,,2.2292817639791727,True,0.05933040952467754,0.1625743604146369,-4.346924735634647,0.5552702420359997,,-0.21830265459512907,-0.11709910671115228,2.1699513544544953,2.0667074035645356,,0,-1.9004627748182035,-0.1715293665933378,-4.1753953690413095,0.6666666666666666,0.20512820512820512
Solstice Foods,affiliate,2023-02,1,0.4983368232933868,,0.4983368232933868,False,-0.9195355413634292,-0.5983880511664113,6.127598068008157,1.3332998665518256,-1.010383721815416,-1.3537048760834067,-0.6269417195858126,1.4178723646568159,1.096724874459798,1.010383721815416,0,0.7823598217591836,-1.511028347970059,7.638626415978216,0.0,0.3333333333333333
Crestline Beverages,affiliate,2023-02,1,-0.9749225214376549,,-0.9749225214376549,False,-1.682889743798702,-1.2834488768707928,2.860158126023495,0.14852372186694218,0.10350177467883026,-0.09674272742960474,-0.7236595809441404,0.7079672223610471,0.3085263554331379,-0.10350177467883026,0,-2.4596073221449517,0.9356286811039283,1.9245294449195667,0.2857142857142857,0.2894736842105263
Solstice Foods,digital_video,2023-02,1,-0.6452011050829924,,-0.6452011050829924,False,1.6559215630571464,1.3721670205590595,4.545884014563946,-1.1650347204124145,-0.7904568393069668,-0.06528539909629909,-0.43215966909490033,-2.301122668140139,-2.0173681256420517,0.7904568393069668,0,-0.845088368756306,-1.511028347970059,6.056912362534005,0.0,0.3333333333333333
Solstice Foods,display,2023-02,1,0.8190376926509243,,0.8190376926509243,True,-2.210171034187844,-1.4372809931106079,6.286719212172258,-0.4901054950825253,0.871119176198764,-0.03533097944844836,0.40544878286054764,3.0292087268387684,2.2563186857615323,-0.871119176198764,0,0.5330244992257723,-1.511028347970059,7.797747560142318,0.0,0.3333333333333333
Ridgeway Grocery,retail_media,2023-02,1,2.4274303332262757,,2.4274303332262757,True,1.4103933342582753,1.717777701575498,2.398749677449826,-0.15927279410386558,-0.5282669014415269,-1.2931168137435571,0.47537602114927563,1.0170369989680004,0.7096526316507776,0.5282669014415269,0,0.6386759642902717,-0.1715293665933378,2.570279044043164,0.6666666666666666,0.20512820512820512
Solstice Foods,retail_media,2023-02,1,-1.0425520522777454,,-1.0425520522777454,False,1.439334051323978,1.292592810453431,6.562322136567408,-0.5560228322253113,-0.4598105536313931,0.026208471242653946,-0.343828637997912,-2.4818861036017235,-2.3351448627311764,0.4598105536313931,0,1.4932835998726457,-1.511028347970059,8.073350484537468,0.0,0.3333333333333333
