brand,channel,month,month_idx,spend,revenue,roas,iroas,mas,rroi,ctr,cpc,picr,impression_share
Aster Wellness,audio,2023-01,0,40253.98756247967,69070.1790977604,1.715859304387027,1.64202112427039,63737.236658210975,1.5833769650592282,0.005015398165670071,0.8996372788786432,0.05764284090971,0.45296035718140715
Aster Wellness,audio,2023-02,1,43187.1690157394,69608.07257438869,1.6117766957361872,1.7767451174768574,69541.14713119643,1.6021720142923166,0.0051007150541469825,0.6872379300317017,0.049389973307863114,0.4406344958375221
Aster Wellness,audio,2023-03,2,45001.62540076512,71322.35572813409,1.5848839923662281,1.5456339687419616,81547.25057283185,1.7259782026388462,0.004768407796380903,0.7685653160245243,0.052420825669435046,0.437148305387253
Aster Wellness,audio,2023-04,3,40517.36868977089,59486.45149064962,1.4681716363695578,1.359006675413117,67925.70314371398,1.6903398782872554,0.004784445766257717,0.8720892774211534,0.04823040385951302,0.451147148463821
Aster Wellness,audio,2023-05,4,39879.70251249795,63673.96174614256,1.5966508708581189,1.4474753922500576,59458.471203419955,1.592278336578672,0.004172437651649355,0.8221712567992612,0.046384255585342,0.4504242617899485
Aster Wellness,audio,2023-06,5,40439.08180345208,59498.895457623985,1.4713216226522945,1.5850273820162875,63130.30912868592,1.5701536581912736,0.004913724943265295,0.8150144759548161,0.03550809868550576,0.4380931907534326
Aster Wellness,audio,2023-07,6,49294.47334767184,69936.84404967635,1.4187562884872456,1.6250819214871532,87792.41652696171,1.6790007223773586,0.0054979046839561075,0.7753491559938158,0.05416961075404783,0.44894585005007853
Aster Wellness,audio,2023-08,7,64692.28225096736,84065.72950187807,1.2994707649322577,1.5445489367183827,91759.43649543535,1.5194591280366572,0.004817415146176792,0.8131938505755144,0.04385958231412336,0.45178891070650845
Aster Wellness,audio,2023-09,8,58717.046430664675,59311.22546971091,1.0101193618406517,1.6754358322364635,96819.6539117238,1.6292268839898068,0.004584225616426829,0.7192687818035532,0.054416738912580476,0.44040319836376135
Aster Wellness,audio,2023-10,9,45975.81477926928,72829.02693870249,1.5840725670302085,1.4494066599348099,59673.276306406675,1.392220028364278,0.005451376531912319,0.8769140277395315,0.061487546471085314,0.4365379502707047
Aster Wellness,audio,2023-11,10,39510.09492450053,69824.34634637386,1.7672533179128156,1.5416355487790638,63226.09635214399,1.549520326716637,0.005080694312345342,0.918282502141297,0.043045529031424196,0.44740721869796174
Aster Wellness,audio,2023-12,11,43618.52381520401,84154.94899458572,1.9293396849265223,1.7777337068077939,79044.76239608657,1.6669458545287172,0.005069817947529574,0.9145361393281387,0.055315702603646634,0.465611369143243
Aster Wellness,audio,2024-01,12,37250.626082159506,70045.53464461521,1.8803854327206118,1.7159431935490441,61978.73031069919,1.6807853480427706,0.005232873088177583,0.8473458418049588,0.049489038578922444,0.4746788407076461
Aster Wellness,audio,2024-02,13,37075.41116347782,61670.31887173046,1.6633751841565698,1.5766480307072437,55604.31293966982,1.595060308364027,0.0053482714544718524,0.9555561496288801,0.052705299268226806,0.4543468433225035
Aster Wellness,audio,2024-03,14,,,,,,,0.004980746643504122,0.8887468139642932,0.04365586765977686,0.4446103115957867
Aster Wellness,audio,2024-04,15,43535.19413548105,53384.06434067389,1.2262277773367283,1.6866345968837992,68908.13535616506,1.5561408092548494,0.0046174061800624035,0.9316967563830737,0.05021420033766719,
Aster Wellness,audio,2024-05,16,50030.11817898867,73949.6974113323,1.4781035924554184,1.7967242766529703,98841.36913698337,1.8084449099160613,0.007289049655838345,,0.06527031552810166,0.49317828399871905
Aster Wellness,audio,2024-06,17,26606.864669226296,65410.815129970026,2.458418755578694,2.2311764375321146,57782.51493341625,2.0147190862447615,0.007309420418227608,0.649897329231431,0.09167488550857868,0.47036923751409837
Aster Wellness,audio,2024-07,18,49858.75929173869,107303.2473401241,2.1521443546611407,2.234971986511171,122807.4911753768,2.307334961583882,0.007788249408031057,0.5430583201757821,0.11776575274541985,0.4304508704178834
Aster Wellness,audio,2024-08,19,71815.26856672236,90909.69395506747,1.265882531242013,1.5654788954351238,105180.00052568689,1.805719075247543,0.005090878312030085,0.661597656493219,0.05187767283721306,0.44924735011180494
Aster Wellness,audio,2024-09,20,56527.7570954477,73193.96878509036,1.2948323539796844,1.6086520628023873,90380.65733151797,1.7448630401570329,0.0056069588677185225,,0.04800742061468271,0.4391656247665005
Aster Wellness,audio,2024-10,21,46563.18863630928,77188.94390766526,1.6577246139770265,1.394038260756138,62662.68202242832,1.4201461363883092,0.004366557086252267,0.8410964837921722,0.06447604938774291,0.44262994338176936
Aster Wellness,audio,2024-11,22,46103.99177363899,57131.509874987496,1.2391879244532953,1.7407570297189645,78673.89392131587,1.6127921758841908,0.005670381143937763,1.027696778333839,0.04945035899979844,0.41572494209859456
Aster Wellness,audio,2024-12,23,50491.43696392692,63667.0323960027,1.2609471273611987,1.7929348273251828,96075.69084648452,1.752126970256368,0.004936803322277111,0.7039411882709347,0.049734354438215084,0.4509639428124862
Aster Wellness,audio,2025-01,24,42370.162303451776,58434.684756197865,1.3791470596145758,1.620261370710325,58617.098093993496,1.551922549789134,0.006055030017885663,0.921388848236877,0.05063985783095092,0.4222286518542498
Aster Wellness,audio,2025-02,25,40546.940333426035,54833.58460695677,1.352348269833646,1.6678283843094708,71607.91902486267,1.7168827004739349,0.005331372151705497,0.7768447070732151,0.05278992744181288,0.4379497333052136
Aster Wellness,audio,2025-03,26,40605.525182812686,78926.12786619998,1.9437287785556696,1.9125250721547233,81941.19373430473,1.840689261565525,0.00495122798971618,0.8500911799889402,0.054285497755957125,0.48405474733838616
Aster Wellness,audio,2025-04,27,43519.38557974863,64588.38064423194,1.4841289642261766,1.5489911835473835,67435.67173946333,1.6865391166592496,0.005639749919297319,0.7815867448639064,0.04688031617166267,0.47227987971366747
Aster Wellness,audio,2025-05,28,42449.401577294186,90706.46460929781,2.1368137415113977,2.689952012668329,114880.5194353195,2.3372830464366965,0.009474564251313291,0.6036168395169987,0.09107720851834304,0.4321550747410585
Aster Wellness,audio,2025-06,29,46046.9531954063,69457.27845109983,1.5084011781702198,1.608418141182037,72826.26375383428,1.800108745522703,0.004836643294302433,0.8479380814643023,0.062047374257662984,0.42878213925706116
