threshold,precision,recall,fp,fn,cost
0.2,0.27556109725685785,0.7441077441077442,581,76,961.0
0.25,0.2821522309711286,0.7239057239057239,547,82,957.0
0.3,0.2924791086350975,0.7070707070707071,508,87,943.0
0.35,0.30678466076696165,0.7003367003367004,470,89,915.0
0.4,0.3181818181818182,0.6835016835016835,435,94,905.0
0.44999999999999996,0.3305785123966942,0.6734006734006734,405,97,890.0
0.5,0.3479020979020979,0.67003367003367,373,98,863.0
0.55,0.35977859778597787,0.6565656565656566,347,102,857.0
0.6,0.37524950099800397,0.632996632996633,313,109,858.0
0.6499999999999999,0.3798283261802575,0.5959595959595959,289,120,889.0
0.7,0.390625,0.5892255892255892,273,122,883.0
0.75,0.40326340326340326,0.5824915824915825,256,124,876.0
0.8,0.41935483870967744,0.569023569023569,234,128,874.0
0.8499999999999999,0.42783505154639173,0.5589225589225589,222,131,877.0
0.8999999999999999,0.4481792717086835,0.5387205387205387,197,137,882.0
0.95,0.46130952380952384,0.5218855218855218,181,142,891.0
1.0,0.4855305466237942,0.5084175084175084,160,146,890.0
1.05,0.4965986394557823,0.49158249158249157,148,151,903.0
1.0999999999999999,0.5,0.47474747474747475,141,156,921.0
1.15,0.5092936802973977,0.4612794612794613,132,160,932.0
1.2,0.5193798449612403,0.4511784511784512,124,163,939.0
1.2499999999999998,0.5365853658536586,0.4444444444444444,114,165,939.0
1.2999999999999998,0.5301724137931034,0.41414141414141414,109,174,979.0
1.3499999999999999,0.5318181818181819,0.3939393939393939,103,180,1003.0
1.4,0.5476190476190477,0.3872053872053872,95,182,1005.0
1.45,0.5445544554455446,0.37037037037037035,92,187,1027.0
1.4999999999999998,0.5567010309278351,0.36363636363636365,86,189,1031.0
1.5499999999999998,0.5769230769230769,0.35353535353535354,77,192,1037.0
1.5999999999999999,0.5988372093023255,0.3468013468013468,69,194,1039.0
1.65,0.6134969325153374,0.3367003367003367,63,197,1048.0
1.6999999999999997,0.6282051282051282,0.32996632996632996,58,199,1053.0
1.7499999999999998,0.6575342465753424,0.32323232323232326,50,201,1055.0
1.7999999999999998,0.6764705882352942,0.30976430976430974,44,205,1069.0
1.8499999999999999,0.6976744186046512,0.30303030303030304,39,207,1074.0
1.9,0.712,0.2996632996632997,36,208,1076.0
1.9499999999999997,0.7235772357723578,0.2996632996632997,34,208,1074.0
1.9999999999999998,0.7264957264957265,0.28619528619528617,32,212,1092.0
2.05,0.7454545454545455,0.2760942760942761,28,215,1103.0
2.1,0.7647058823529411,0.26262626262626265,24,219,1119.0
2.15,0.7708333333333334,0.24915824915824916,22,223,1137.0
2.1999999999999997,0.8089887640449438,0.24242424242424243,17,225,1142.0
2.25,0.813953488372093,0.2356902356902357,16,227,1151.0
2.3,0.8414634146341463,0.23232323232323232,13,228,1153.0
2.35,0.8375,0.2255892255892256,13,230,1163.0
2.4,0.8375,0.2255892255892256,13,230,1163.0
2.45,0.8571428571428571,0.2222222222222222,11,231,1166.0
2.5,0.8493150684931506,0.20875420875420875,11,235,1186.0
2.55,0.8484848484848485,0.18855218855218855,10,241,1215.0
2.6,0.8524590163934426,0.1750841750841751,9,245,1234.0
2.65,0.8620689655172413,0.16835016835016836,8,247,1243.0
2.7,0.8703703703703703,0.15824915824915825,7,250,1257.0
2.75,0.8627450980392157,0.14814814814814814,7,253,1272.0
2.8,0.8979591836734694,0.14814814814814814,5,253,1270.0
2.85,0.9130434782608695,0.1414141414141414,4,255,1279.0
2.9,0.9333333333333333,0.1414141414141414,3,255,1278.0
2.9499999999999997,0.9534883720930233,0.13804713804713806,2,256,1282.0
3.0,0.9743589743589743,0.12794612794612795,1,259,1296.0
3.05,0.9736842105263158,0.12457912457912458,1,260,1301.0
3.1,0.972972972972973,0.12121212121212122,1,261,1306.0
3.15,0.9722222222222222,0.11784511784511785,1,262,1311.0
3.1999999999999997,0.9714285714285714,0.11447811447811448,1,263,1316.0
3.25,0.9714285714285714,0.11447811447811448,1,263,1316.0
3.3,0.9705882352941176,0.1111111111111111,1,264,1321.0
3.35,0.96875,0.10437710437710437,1,266,1331.0
3.4,0.9666666666666667,0.09764309764309764,1,268,1341.0
3.4499999999999997,0.9655172413793104,0.09427609427609428,1,269,1346.0
3.5,0.9642857142857143,0.09090909090909091,1,270,1351.0
3.55,0.9629629629629629,0.08754208754208755,1,271,1356.0
3.6,1.0,0.08417508417508418,0,272,1360.0
3.65,1.0,0.0707070707070707,0,276,1380.0
3.6999999999999997,1.0,0.0707070707070707,0,276,1380.0
3.75,1.0,0.06734006734006734,0,277,1385.0
3.8,1.0,0.06060606060606061,0,279,1395.0
3.85,1.0,0.06060606060606061,0,279,1395.0
3.9,1.0,0.06060606060606061,0,279,1395.0
3.9499999999999997,1.0,0.05387205387205387,0,281,1405.0
4.0,1.0,0.04713804713804714,0,283,1415.0
4.05,1.0,0.04040404040404041,0,285,1425.0
4.1,1.0,0.04040404040404041,0,285,1425.0
4.1499999999999995,1.0,0.037037037037037035,0,286,1430.0
4.199999999999999,1.0,0.030303030303030304,0,288,1440.0
4.25,1.0,0.026936026936026935,0,289,1445.0
4.3,1.0,0.026936026936026935,0,289,1445.0
4.35,1.0,0.02356902356902357,0,290,1450.0
4.3999999999999995,1.0,0.02356902356902357,0,290,1450.0
